[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-21 13:47:12] Saving 833 values; 26761 bytes
[2023-01-21 13:48:41] Saving 833 values; 26777 bytes
[2023-01-21 13:48:56] Saving 833 values; 26777 bytes
[2023-01-21 13:48:57] Saving 833 values; 26777 bytes
[2023-01-21 13:49:57] Saving 833 values; 26777 bytes
[2023-01-21 13:51:58] Saving 833 values; 26777 bytes
[2023-01-21 13:52:59] Saving 833 values; 26777 bytes
[2023-01-21 13:56:52] Saving 834 values; 26800 bytes
[2023-01-21 13:56:57] Saving 834 values; 26822 bytes
[2023-01-21 13:58:11] Saving 834 values; 26822 bytes
[2023-01-21 14:00:23] Saving 834 values; 26822 bytes
[2023-01-21 14:01:11] Saving 834 values; 26822 bytes
[2023-01-21 14:02:01] Saving 834 values; 26822 bytes
[2023-01-21 14:04:06] Saving 834 values; 26822 bytes
[2023-01-21 14:04:10] Saving 834 values; 26822 bytes
[2023-01-21 14:04:12] Saving 835 values; 26864 bytes
[2023-01-21 14:04:16] Saving 836 values; 26924 bytes
[2023-01-21 14:04:19] Saving 837 values; 26953 bytes
[2023-01-21 14:04:19] Saving 837 values; 26953 bytes
[2023-01-21 14:04:19] Saving 837 values; 26953 bytes
[2023-01-21 14:04:19] Saving 837 values; 26953 bytes
[2023-01-21 14:04:22] Saving 837 values; 26953 bytes
[2023-01-21 14:04:22] Saving 837 values; 26989 bytes
[2023-01-21 14:04:22] Saving 837 values; 26989 bytes
[2023-01-21 14:04:37] Saving 839 values; 27289 bytes
[2023-01-21 14:04:43] Saving 840 values; 27316 bytes
[2023-01-21 14:04:46] Saving 841 values; 27341 bytes
[2023-01-21 14:04:49] Saving 841 values; 27325 bytes
[2023-01-21 14:04:55] Saving 842 values; 27343 bytes
[2023-01-21 14:05:01] Saving 842 values; 27343 bytes
[2023-01-21 14:05:02] Saving 842 values; 27343 bytes
[2023-01-21 14:06:37] Saving 842 values; 27972 bytes
[2023-01-21 14:06:38] Saving 843 values; 28003 bytes
[2023-01-21 14:06:39] Saving 844 values; 28042 bytes
[2023-01-21 14:06:47] Saving 845 values; 28079 bytes
[2023-01-21 14:06:50] Saving 846 values; 28105 bytes
[2023-01-21 14:07:23] Saving 846 values; 28105 bytes
[2023-01-21 14:08:51] Saving 846 values; 28105 bytes
[2023-01-21 14:09:19] Saving 846 values; 28105 bytes
[2023-01-21 14:09:50] Saving 846 values; 28105 bytes
[2023-01-21 14:10:07] Saving 846 values; 28105 bytes
[2023-01-21 14:10:19] Saving 846 values; 28116 bytes
[2023-01-21 14:11:24] Saving 846 values; 28116 bytes
[2023-01-21 14:11:34] Saving 846 values; 28116 bytes
[2023-01-21 14:17:19] Saving 847 values; 28162 bytes
[2023-01-21 14:17:19] Saving 847 values; 28199 bytes
[2023-01-21 14:18:15] Saving 847 values; 28199 bytes
[2023-01-21 14:24:51] Saving 848 values; 28225 bytes
[2023-01-21 14:25:53] Saving 848 values; 28225 bytes
[2023-01-21 14:26:47] Saving 848 values; 28225 bytes
[2023-01-21 14:30:12] Saving 849 values; 28269 bytes
[2023-01-21 14:30:19] Saving 849 values; 28269 bytes
[2023-01-21 14:31:23] Saving 849 values; 28269 bytes
[2023-01-21 14:31:58] Saving 849 values; 28269 bytes
[2023-01-21 14:38:19] Saving 849 values; 28269 bytes
[2023-01-21 14:38:20] Saving 849 values; 28269 bytes
[2023-01-21 14:38:50] Saving 849 values; 28269 bytes
[2023-01-21 14:39:20] Saving 849 values; 28269 bytes
